country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7,27.9,27.6,28,28.3,27.8,27.5,27.7,27.6,27.1,27.2,26.8,27.1,
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.4,30.6,29.8,29.7,32.4,33,32.7,33.7,33.3,33.1,32.5,32.3,32.7,
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.2,0,0,0,0,0,0,0,0,0,0,
Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.5,0,0,0,0,47.3,0,0,0,0,0,0,43.6,0,0,0,0,35.9,
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.1,40.7,41.3,40.1,40.5,39.6,37.3,36.7,36.3,37.3,36.9,38.3,38.2,38.1,40.1,39.5,38.8,38.4,37.3,36.4,36.5
Germany,0,0,0,0,0,0,0,0,0,0,0,0,29.2,0,0,29.2,0,0,0,0,0,28.8,30.3,0,0,30.4,0,31.3,31.3,0,0,30.2,30.5,0,31.1,0,31.7,
Ghana,0,0,0,0,0,0,0,0,35.3,36,0,0,38.4,0,0,0,0,0,0,40.1,0,0,0,0,0,0,42.8,0,0,0,0,0,0,42.4,0,0,0,
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.8,33.6,34.6,35.1,34,33.6,33.6,34.1,34.8,36.2,36.1,35.8,36,
Guatemala,0,0,0,0,0,0,0,58.3,0,0,59.6,0,0,0,0,0,0,0,0,0,0,54.2,0,0,0,0,0,54.6,0,0,0,0,0,0,0,48.3,0,
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,46.8,0,0,46.1,0,0,0,0,0,0,0,43,0,0,0,0,39.4,0,0,0,0,33.7,0,0,0,
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.6,0,0,0,0,0,0,0,0,35.6,0,0,0,0,0,0,0,50.7,0,0,0,0,0,
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.1,0,0,0,
Honduras,0,0,0,0,0,0,0,0,0,0,59.5,57.4,51.9,51.8,53.5,55,55.5,55.7,52.7,57.4,55.4,0,55.2,55.7,58.1,58.1,59.5,57.5,55.8,55.5,51.3,53.1,56.2,56.1,52.6,50.4,49.6,50
Hungary,0,0,0,0,0,0,0,0,21,0,25,0,0,0,27.9,0,0,0,0,0,0,0,0,0,0,29.9,34.7,28.3,27.9,27.5,27,29.4,29.2,30.8,31.5,30.9,30.4,
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.8,28,29,30.2,29.5,31.8,28.7,26.2,26.8,26.8,25.4,25.6,0,
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.1,0,0,0,0,
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5,0,0,
Iran,0,0,0,0,0,0,0,47.4,0,0,0,43.6,0,0,0,43,0,0,0,44.1,0,0,0,0,0,0,43.6,44.8,0,0,42.1,0,0,0,37.4,38.8,0,
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,29.5,0,0,0,
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.9,33.6,33.7,32.7,31.9,30.9,32.7,32.3,32.9,33.2,33.5,31.9,0,
Israel,36.3,0,0,0,0,0,0,36.5,0,0,0,0,0,35.5,0,0,0,0,38.1,0,0,0,38.9,0,0,0,41.7,0,41,0,0,42.5,0,41.4,0,0,0,
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.9,34.3,33.8,33.7,32.9,33.8,33.8,34.7,35.1,35.2,34.9,34.7,0,
Jamaica,0,0,0,0,0,0,0,0,0,43.2,0,41.1,0,0,35.7,0,0,40.4,0,0,44.1,0,0,48.3,0,45.5,0,0,0,0,0,0,0,0,0,0,0,
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.1,0,0,0,0,0,0,0,
Jordan,0,0,0,0,0,0,0,36.1,0,0,0,0,0,43.4,0,0,0,0,36.4,0,0,0,0,37,0,0,0,33.9,0,32.6,0,33.7,0,0,0,0,0,
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.4,0,0,0,0,36,34.9,33.8,32,39.9,30.3,30.1,28.5,28.2,28,28,28.1,27.1,27,26.9,
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,43.9,0,0,46.3,0,0,0,0,0,0,0,48.5,0,0,0,0,0,0,0,0,0,0,
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,
Kyrgyz Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.4,0,31,30.2,30.3,28.7,34.8,32.6,37.4,33.9,31.5,29.9,30.1,27.8,27.4,28.8,26.8,29,26.8
Lao,0,0,0,0,0,0,0,0,0,0,0,0,0,34.3,0,0,0,0,34.9,0,0,0,0,32.6,0,0,0,0,35.4,0,0,0,0,36.4,0,0,0,
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,31,31.6,0,0,0,0,0,0,0,36.4,39,35.6,37.5,37.2,35.9,35,35.8,35.2,35.5,35.1,34.2,
Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.8,0,0,0,0,
Lesotho,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,63.2,0,0,0,0,0,0,0,51.6,0,0,0,0,0,0,0,54.2,0,0,0,0,0,
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5,0,0,0,0,0,0,33.2,0,
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6,0,0,0,0,0,0,0,0,0,0,37,35.3,34.4,34.8,35.7,37.2,33.6,32.5,35.1,35.3,37.7,37.4,
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.2,30.2,30.8,30.9,31.1,32.6,31.2,30.5,32.1,34.3,32,31.2,0,
"Macedonia, FYR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.2,40.1,38.5,36.9,35.6,0,
Madagascar,0,46.8,0,0,0,0,0,0,0,0,0,0,0,0,45.3,0,0,0,39.5,0,38.6,0,47.4,0,0,0,39.9,0,0,0,0,42.4,0,42.6,0,0,0,
Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.8,0,0,0,0,0,0,39.9,0,0,0,0,0,45.5,0,0,0,0,0,
