country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Estonia,0,0,0,0,0.33,0,0,0.45,0,0.6,0,0.58,0,0.94,0,1.23,0,1.18,0,1.54,0,1.76,0,1.46,0,1.14
Ethiopia,0.27,0.26,0,0,0.32,0,0,0.36,0,0.46,0,0.52,0,0.6,0,0.93,0,0.92,0,0.91,0,1.05,0,0.99,0,0.75
Fiji,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.91,0,1.07,0,1.15,0,0,0,1.41,0,1.34,0,0.82
Finland,0,0,0,0,1.2,0,0,1.17,0,1.06,0,1.12,0,1.54,0,1.55,0,1.57,0,1.94,0,2.08,0,1.89,0,1.45
France,0,0,0,0,1.17,0,0,1.11,0,0.99,0,1.05,0,1.42,0,1.48,0,1.52,0,1.98,0,1.91,0,1.79,0,1.39
Gabon,1.18,1.16,0,0,0,0,0,0.63,0,0.53,0,0.69,0,0.9,0,0.64,0,1.14,0,0,0,1.04,0,1.02,0,0.92
Gambia,0.73,0.67,0,0,0,0,0,0.83,0,0.64,0,0.46,0,0.75,0,1.08,0,0.79,0,0,0,0,0,1.37,0,1.18
Georgia,0,0,0,0,0,0,0,0.46,0,0,0,0.48,0,0.73,0,0.86,0,1.09,0,1.13,0,1.34,0,1.24,0,0.76
Germany,0,0,0,0,1.12,0,0,0.96,0,0.91,0,1.03,0,1.46,0,1.55,0,1.56,0,1.9,0,1.96,0,1.8,0,1.39
Ghana,0.53,0.53,0,0,0.38,0,0,0.32,0,0.2,0,0.28,0,0.49,0,0.86,0,0.9,0,0.82,0,0.92,0,1.06,0,0.92
Greece,0,0,0,0,0.88,0,0,0.65,0,0.72,0,0.78,0,1.14,0,1.16,0,1.23,0,2.05,0,2.06,0,1.98,0,1.54
Grenada,0,0,0,0,0,0,0,0.54,0,0.54,0,0.54,0,0.73,0,0.89,0,1.28,0,1.02,0,1.4,0,0,0,1.12
Guatemala,0,0.32,0,0,0.39,0,0,0.41,0,0.53,0,0.48,0,0.68,0,0.78,0,0.86,0,0.95,0,1.14,0,1.01,0,0.79
Guinea,0.67,0.61,0,0,0,0,0,0.68,0,0.85,0,0.66,0,0.75,0,0.79,0,1.02,0,0.95,0,1.34,0,1.45,0,0.9
Guyana,0,0,0,0,0,0,0,0.3,0,0.37,0,0.31,0,0.74,0,0,0,0.84,0,0.93,0,1.08,0,1.15,0,0.9
Haiti,0,0,0,0,0,0,0,0.59,0,0.64,0,0.54,0,0.88,0,0,0,1.16,0,0,0,1.25,0,1.16,0,0.81
Honduras,0,0.41,0,0,0.35,0,0,0.5,0,0.62,0,0.63,0,0.81,0,0.89,0,0.8,0,1.04,0,1.25,0,1.2,0,0.98
Hungary,0,0,0,0,0.74,0,0,0.72,0,0.81,0,0.94,0,1.3,0,1.3,0,1.27,0,1.67,0,1.84,0,1.58,0,1.18
Iceland,0,0,0,0,0,0,0,1.12,0,1.05,0,1.16,0,1.64,0,1.86,0,1.15,0,1.71,0,1.99,0,1.85,0,1.69
India,0.56,0,0,0,0.48,0,0,0.56,0,0.6,0,0.66,0,0.87,0,1.01,0,1.09,0,1.15,0,1.25,0,1.1,0,0.97
Indonesia,0.24,0,0,0,0.44,0,0,0.16,0,0.17,0,0.27,0,0.27,0,0.57,0,0.5,0,0.79,0,0.47,0,0.93,0,0.63
Iran,0,0,0,0,0,0,0,0.08,0,0.05,0,0.07,0,0.09,0,0.09,0,0.1,0,0.097,0,0.33,0,0.374,0,0.399
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0.43,0,0.61
Ireland,0,0,0,0,0.96,0,0,1.02,0,0.72,0,0.9,0,1.29,0,1.34,0,1.56,0,1.78,0,2.02,0,1.92,0,1.37
Israel,0,0,0,0,0.73,0,0,0.86,0,1.14,0,0.9,0,1.05,0,1.47,0,1.37,0,1.85,0,2.01,0,1.88,0,1.57
Italy,0,0,0,0,1.18,0,0,1.19,0,0.97,0,1.05,0,1.53,0,1.56,0,1.57,0,1.87,0,2.28,0,2.14,0,1.61
Jamaica,0,0,0,0,0,0,0,0.37,0,0.62,0,0.52,0,0.63,0,0.82,0,0.74,0,0.98,0,1.2,0,1.14,0,1.11
Japan,0,0,0,0,1.25,0,0,1.02,0,1.06,0,0.91,0,1.26,0,1.09,0,1.42,0,1.6,0,2,0,1.38,0,1.06
Jordan,0,0,0,0,0.4,0,0,0.42,0,0.45,0,0.52,0,0.61,0,0.86,0,0.61,0,1.04,0,1.44,0,1.27,0,1.1
Kazakhstan,0,0,0,0,0.3,0,0,0.3,0,0.36,0,0.35,0,0.52,0,0.7,0,0.83,0,0.71,0,1.01,0,0.81,0,0.42
Kenya,0.53,0.4,0,0,0.56,0,0,0.7,0,0.71,0,0.7,0,0.92,0,1.12,0,1.2,0,1.33,0,1.37,0,1.21,0,0.95
Kuwait,0,0,0,0,0,0,0,0.17,0,0.21,0,0.2,0,0.24,0,0.22,0,0.24,0,0.23,0,0.23,0,0.22,0,0.35
Kyrgyz Republic,0,0,0,0,0,0,0,0.47,0,0.44,0,0.39,0,0.48,0,0.64,0,0.8,0,0.85,0,0.89,0,0.94,0,0.56
Lao,0,0,0,0,0,0,0,0.31,0,0.41,0,0.36,0,0.54,0,0.86,0,0.92,0,1.26,0,1.33,0,1.4,0,0.93
Latvia,0,0,0,0,0.41,0,0,0.55,0,0.67,0,0.7,0,0.94,0,1.2,0,1.12,0,1.48,0,1.8,0,1.48,0,1.16
Lebanon,0,0,0,0,0,0,0,0.35,0,0.53,0,0.65,0,0.71,0,0.74,0,0.76,0,1.13,0,1.11,0,0.96,0,0.74
Lesotho,0,0,0,0,0,0,0,0.39,0,0.5,0,0,0,0.73,0,0.89,0,0.79,0,0.97,0,1.24,0,1.03,0,0.7
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.79,0,0.77,0,0.98,0,1.17,0,0.91,0,0.8
Libya,0,0,0,0,0,0,0,0.22,0,0.25,0,0.1,0,0.09,0,0.12,0,0.14,0,0.17,0,0.12,0,0,0,0.11
Liechtenstein,0,0,0,0,0,0,0,0.85,0,0.81,0,0.89,0,1.29,0,1.27,0,1.3,0,1.66,0,1.88,0,1.74,0,
Lithuania,0,0,0,0,0.35,0,0,0.51,0,0.66,0,0.69,0,1.03,0,1.08,0,1.13,0,1.59,0,1.83,0,1.57,0,1.16
Luxembourg,0,0,0,0,0.84,0,0,0.78,0,0.75,0,0.76,0,1.19,0,1.29,0,1.4,0,1.55,0,1.64,0,1.52,0,1.19
"Macedonia, FYR",0,0,0,0,0.93,0,0,0.7,0,0.76,0,0.85,0,1.17,0,1.23,0,1.15,0,1.52,0,1.75,0,1.49,0,1.11
Madagascar,0.43,0.54,0,0,0.47,0,0,0.47,0,0.76,0,1.08,0,1.05,0,1.15,0,1.55,0,1.52,0,1.49,0,1.35,0,1.11
Malawi,0.64,0.71,0,0,0.65,0,0,0.51,0,0.69,0,0.66,0,0.95,0,1.17,0,1.78,0,1.71,0,1.93,0,1.78,0,1.15
Malaysia,0.4,0,0,0,0.42,0,0,0.28,0,0.28,0,0.35,0,0.37,0,0.53,0,0.53,0,0.59,0,0.62,0,0.68,0,0.45
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,1.1,0,1.63,0,
Mali,1.12,1.14,0,0,0.82,0,0,0.77,0,0.7,0,0.69,0,1.16,0,1.22,0,1.3,0,1.42,0,1.41,0,1.47,0,1.12
Malta,0,0,0,0,0,0,0,0.77,0,0.81,0,0.87,0,1.18,0,1.38,0,1.66,0,1.63,0,1.92,0,1.8,0,1.36
Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,
Mauritania,0.86,0.85,0,0,0,0,0,0.59,0,0.67,0,0.63,0,0.8,0,0.97,0,1.49,0,1.16,0,1.43,0,1.53,0,1.13
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55,0,1.65,0,1.65,0,1.12
Mexico,0,0.39,0,0,0.32,0,0,0.36,0,0.61,0,0.62,0,0.59,0,0.74,0,0.74,0,0.81,0,0.86,0,1.03,0,0.73
Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,1.21,0,1.42,0,1.21,0,0.8
Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,1.92,0,2.23,0,2,0,
Mongolia,0,0,0,0,0,0,0,0.23,0,0.38,0,0.38,0,0.61,0,0.88,0,1.38,0,1.11,0,1.29,0,1.01,0,0.72
Montenegro,0,0,0,0,0.76,0,0,0.61,0,0.56,0,0.74,0,1.2,0,1.51,0,1.27,0,1.62,0,1.82,0,1.6,0,1.16
Morocco,0.82,0.75,0,0,0.94,0,0,0.79,0,0.82,0,0.87,0,1.1,0,1.22,0,1.29,0,1.23,0,1.42,0,1.38,0,0.99
Mozambique,0.74,0.48,0,0,0.53,0,0,0.55,0,0.56,0,0.46,0,0.88,0,1.15,0,1.71,0,1.11,0,1.58,0,1.55,0,0.65
Myanmar,0,0,0,0,0,0,0,0.13,0,0.33,0,0.36,0,0.12,0,0.66,0,0.43,0,0.8,0,1.04,0,1.14,0,0.54
Namibia,0.46,0.42,0,0,0,0,0,0.38,0,0.47,0,0.45,0,0.68,0,0.87,0,0.78,0,1.06,0,1.24,0,1.08,0,0.76
Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,
Nepal,0.65,0,0,0,0.52,0,0,0.59,0,0.63,0,0.66,0,0.72,0,0.94,0,1.13,0,1.18,0,1.44,0,1.31,0,0.91
Netherlands,0,0,0,0,1.21,0,0,1.14,0,1.03,0,1.12,0,1.62,0,1.7,0,1.68,0,2.13,0,2.33,0,2.15,0,1.68
